Stadium_Name,Stadium_ID,Player_Name,Player_ID,Role,Country,Highest_Runs,Average_Runs,Strike_Rate,Total_Wickets,Economy,Dots
Narendra Modi Stadium,1000,Virat Kohli,1,Middle Order Batsman,India,35,18,101.89,NA,NA,NA
Narendra Modi Stadium,1000,Rohit Sharma,2,Top Order Batsman,India,8,5,66.67,NA,NA,NA
Narendra Modi Stadium,1000,Mahendra Singh Dhoni,3,WicketKeeper Batsman,India,14,14,175,NA,NA,NA
Narendra Modi Stadium,1000,Ravindra Jadeja,4,All Rounder,India,16,15,200,2,8.25,12
Narendra Modi Stadium,1000,Hardik Pandya,5,All Rounder,India,59,37.33,129.48,5,8.2,57
Narendra Modi Stadium,1000,Jos Buttler ,6,WicketKeeper Batsman,England,106,72.5,145,NA,NA,NA
Narendra Modi Stadium,1000,Steven Smith,7,Middle Order Batsman,Australia,25,14.5,107,NA,NA,NA
Narendra Modi Stadium,1000,Ben Strokes,8,All Rounder,England,7,7,116.67,3,7.5,30
Narendra Modi Stadium,1000,David Warner,9,Top Order Batsman,Australia,2,2,100,NA,NA,NA
Narendra Modi Stadium,1000,Kane Williamson,10,Middle Order Batsman,New Zealand,30,20,130,NA,NA,NA
Narendra Modi Stadium,1000,Jasprit Bumrah,11,Fast Bowler,India,NA,NA,NA,0,0,0
Narendra Modi Stadium,1000,Mohammed Shami,12,Fast Bowler,India,NA,NA,NA,20,7.44,152
Narendra Modi Stadium,1000,Bhuvneshwar Kumar,13,Swing Bowler,India,NA,NA,NA,1,11,17
Narendra Modi Stadium,1000,Mohammed Siraj,14,Fast Bowler,India,NA,NA,NA,5,7.5,11
Narendra Modi Stadium,1000,Yuzvendra Chahal,15,Leg-Spin Bowler,India,NA,NA,NA,3,8.06,29
Narendra Modi Stadium,1000,Ravichandran Ashwin,16,Off-Spin Bowler,India,NA,NA,NA,4,9.5,40
Narendra Modi Stadium,1000,Trent Boult,17,Fast & Medium Swing Bowler,New Zealand,NA,NA,NA,3,7.33,36
Narendra Modi Stadium,1000,Rashid Khan,18,All Rounder,Afganistan,10,7,175,14,8.23,76
Narendra Modi Stadium,1000,Josh Hazlewood,19,Fast Bowler,Australia,NA,NA,NA,2,5.75,12
Narendra Modi Stadium,1000,Sam Curran,20,All Rounder,England,17,10,60,5,7.86,24
Wankhede Stadium,2000,Virat Kohli,1,Middle Order Batsman,India,92,40.18,133.94,NA,NA,NA
Wankhede Stadium,2000,Rohit Sharma,2,Top Order Batsman,India,94,34.4,137.27,NA,NA,NA
Wankhede Stadium,2000,Mahendra Singh Dhoni,3,WicketKeeper Batsman,India,50,24.33,111.45,NA,NA,NA
